100
73	-55
-16	22
33	29
43	-39
29	59
87	-35
-49	-86
3	-99
-29	-63
56	-78
81	-78
-35	69
-86	-44
-51	94
-45	-25
13	-72
-95	28
-16	32
-3	-49
100	3
92	-30
-48	-91
-59	-98
-84	-98
-95	-94
-52	98
44	7
-87	3
99	-31
-36	8
58	80
-24	-97
-2	76
-85	60
-4	-72
-52	13
-85	-99
-91	-76
-53	-60
-21	36
9	-56
-58	75
60	48
-46	-14
71	51
-30	46
-21	-40
43	89
-12	24
-98	-54
91	29
-97	68
68	25
67	85
-57	50
-94	-65
-10	-59
-20	61
-82	32
-15	67
-35	-30
4	-46
-1	31
-71	-67
-37	-61
-2	-60
-3	60
-62	33
-64	-19
76	75
-8	-77
-32	-8
-47	-25
67	-68
70	60
77	19
-46	1
-81	67
-92	42
-90	-24
100	6
-91	-75
83	-34
-63	28
97	-96
-63	-84
-44	58
36	-75
52	-65
-65	52
29	100
77	-26
-37	-74
-51	-51
-98	-98
47	-56
51	67
97	78
-7	4
-55	-2
