10000
-8746	-6299
2307	4531
-4176	1574
-7317	5433
3764	4096
-1169	-2008
4022	-8542
9601	-621
-5714	-1266
8695	-3230
-3585	8522
7596	-1783
-3955	-9074
-5133	9539
8870	5822
-4864	-2484
-8172	8512
5571	-9964
-8113	4696
1116	6655
-9104	5616
-6224	-9254
-1061	5001
7866	-3890
1989	-1473
-4941	-4033
-6691	-6456
9082	-9488
6526	8057
5570	-6056
-930	2209
-4409	-2795
-3866	2219
-5412	-1465
-9086	-5837
-903	-242
2999	-5658
-4990	1559
-3872	5967
-3897	-3909
3325	2466
-8250	7961
-455	2902
9571	1522
3610	-4051
3722	2888
-6278	-1797
3370	-4718
-1786	8637
4139	-8478
721	5868
9078	1326
-7850	-2958
1196	4847
-2811	-1353
1813	2092
1258	1653
-9365	1749
-4128	-9869
9863	5993
-3411	811
6618	8794
2127	630
-7608	-1584
-4352	9058
-7088	1438
-6912	9105
7339	6484
-5998	-8009
6790	5647
3050	2289
1527	-6857
9383	-3128
-8351	-9287
-4253	2526
3720	1274
9950	4497
5753	2346
6492	-4056
3456	5417
2495	-40
1821	970
3705	6930
-3611	7048
7686	-1123
-8689	5171
-1725	-9429
-7277	-4093
3338	8077
-9027	-5785
-2026	-5342
-1965	-1645
-9900	3190
-7279	908
-3513	-4746
4032	2473
-9685	3530
8550	2686
4428	-8494
1360	-1634
2411	8831
-8903	7594
-6550	3211
8284	-4920
1522	-2734
1529	4357
-2201	3245
-8916	7398
-9680	-1383
5124	-6814
7586	-236
-9369	-5049
1675	-8560
-2510	-2549
7373	-3357
-2367	-4785
-284	6130
9674	-6911
-9630	1340
-439	8512
-5342	4104
-8709	-9818
7439	-8598
-9251	9529
-3939	-9236
1821	4232
-4999	-6210
6204	-841
3738	-2900
6555	2729
6569	5693
-7507	5235
-1999	9811
559	-3337
589	6971
-8435	-8351
8694	-3689
5026	-697
8251	6541
3200	-8640
-6653	6276
-7302	-2056
641	1335
-8041	2148
8886	2345
2056	-2046
7315	-2507
-1497	-7672
-8853	-1522
3287	-8416
2503	-7695
-8900	-6795
-2953	-8528
